CodCan,LibCan,Bureau de vote,Libellé,Inscrits,Votants,Nuls,Blancs,Exprimés,Procurations,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix
04,Angers 4,406,ECOLE ELEMENTAIRE NELSON MANDELA,1052,537,17,26,494,24,CHOUTEAU Marie-Hélène - ROTUREAU Jean-Luc,BC-DVG,Divers gauche,310,DE LA BIGNE Philippe - ENGEL Karine,BC-UD,Union de la Droite,184,,,,,,,,,,,,,,,,
04,Angers 4,451,AVRILLE,10384,5295,124,262,4909,108,CHOUTEAU Marie-Hélène - ROTUREAU Jean-Luc,BC-DVG,Divers gauche,2282,DE LA BIGNE Philippe - ENGEL Karine,BC-UD,Union de la Droite,2627,,,,,,,,,,,,,,,,
04,Angers 4,452,LA MEIGNANNE,1611,865,21,57,787,17,CHOUTEAU Marie-Hélène - ROTUREAU Jean-Luc,BC-DVG,Divers gauche,425,DE LA BIGNE Philippe - ENGEL Karine,BC-UD,Union de la Droite,362,,,,,,,,,,,,,,,,
04,Angers 4,453,LA MEMBROLLE SUR LONGUENEE,1391,732,14,56,662,8,CHOUTEAU Marie-Hélène - ROTUREAU Jean-Luc,BC-DVG,Divers gauche,350,DE LA BIGNE Philippe - ENGEL Karine,BC-UD,Union de la Droite,312,,,,,,,,,,,,,,,,
04,Angers 4,454,MONTREUIL JUIGNE,5760,2734,60,175,2499,61,CHOUTEAU Marie-Hélène - ROTUREAU Jean-Luc,BC-DVG,Divers gauche,1270,DE LA BIGNE Philippe - ENGEL Karine,BC-UD,Union de la Droite,1229,,,,,,,,,,,,,,,,
04,Angers 4,455,LE PLESSIS MACE,911,465,8,38,419,3,CHOUTEAU Marie-Hélène - ROTUREAU Jean-Luc,BC-DVG,Divers gauche,224,DE LA BIGNE Philippe - ENGEL Karine,BC-UD,Union de la Droite,195,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,Angers 5,501,LYCEE JOACHIM DU BELLAY,887,350,7,22,321,7,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,145,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,176,,,,,,,,,,,,,,,,
05,Angers 5,502,LYCEE JOACHIM DU BELLAY,1210,629,8,22,599,18,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,285,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,314,,,,,,,,,,,,,,,,
05,Angers 5,503,ECOLE MATERNELLE MARIE TALET,1189,496,5,26,465,10,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,264,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,201,,,,,,,,,,,,,,,,
05,Angers 5,504,ECOLE MATERNELLE MARIE TALET,1051,444,7,17,420,11,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,236,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,184,,,,,,,,,,,,,,,,
05,Angers 5,505,ENSEMBLE JEAN MACE,1211,578,15,26,537,6,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,338,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,199,,,,,,,,,,,,,,,,
05,Angers 5,506,ENSEMBLE JEAN MACE,1341,655,13,27,615,10,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,366,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,249,,,,,,,,,,,,,,,,
05,Angers 5,507,ECOLE ANNIE FRATELLINI,907,461,18,17,426,14,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,233,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,193,,,,,,,,,,,,,,,,
05,Angers 5,508,ECOLE ANNIE FRATELLINI,928,406,9,24,373,7,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,203,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,170,,,,,,,,,,,,,,,,
05,Angers 5,509,ECOLE VOLTAIRE,987,425,11,27,387,5,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,191,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,196,,,,,,,,,,,,,,,,
05,Angers 5,510,ECOLE VOLTAIRE,938,361,11,25,325,2,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,169,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,156,,,,,,,,,,,,,,,,
05,Angers 5,511,ECOLE VOLTAIRE,912,316,3,20,293,5,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,146,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,147,,,,,,,,,,,,,,,,
05,Angers 5,512,ECOLE MATERNELLE PAUL VALERY,1054,391,11,33,347,4,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,184,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,163,,,,,,,,,,,,,,,,
05,Angers 5,513,ECOLE MATERNELLE PAUL VALERY,1040,324,5,24,295,2,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,156,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,139,,,,,,,,,,,,,,,,
05,Angers 5,514,ECOLE MATERNELLE PAUL VALERY,1038,482,15,20,447,4,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,244,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,203,,,,,,,,,,,,,,,,
05,Angers 5,551,BRIOLLAY,2184,1219,19,66,1134,22,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,670,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,464,,,,,,,,,,,,,,,,
05,Angers 5,552,CANTENAY EPINARD,1727,934,17,46,871,15,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,329,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,542,,,,,,,,,,,,,,,,
05,Angers 5,553,ECOUFLANT,3036,1596,33,125,1438,21,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,676,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,762,,,,,,,,,,,,,,,,
05,Angers 5,554,ECUILLE,438,211,3,15,193,3,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,104,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,89,,,,,,,,,,,,,,,,
05,Angers 5,555,FENEU,1594,847,76,1,770,10,FOUCHER MAILLARD Sophie - MARCHAND André,BC-SOC,Parti Socialiste,389,CAILLEAU Marc - FEL Caroline,BC-UD,Union de la Droite,381,,,,,,,,,,,,,,,,
