CodCan,LibCan,Bureau de vote,Libellé,Inscrits,Votants,Nuls,Blancs,Exprimés,Procurations,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix
02,Angers 2,213,ECOLE DES GRANDES MAULEVRIES,658,335,3,6,326,2,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,109,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,15,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,54,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,49,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,99,,,,
02,Angers 2,214,ECOLE DES GRANDES MAULEVRIES,1167,537,6,22,509,7,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,166,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,55,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,82,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,53,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,153,,,,
02,Angers 2,215,ECOLE JEAN ROSTAND,1120,484,4,21,459,10,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,131,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,36,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,75,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,75,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,142,,,,
02,Angers 2,216,ECOLE JEAN ROSTAND,1005,538,10,17,511,6,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,177,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,29,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,71,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,77,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,157,,,,
02,Angers 2,217,ECOLE JEAN ROSTAND,871,412,1,15,396,7,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,155,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,41,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,50,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,56,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,94,,,,
02,Angers 2,218,SALLE AUGUSTE CHUPIN,1050,543,5,18,520,8,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,170,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,23,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,59,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,89,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,179,,,,
02,Angers 2,219,SALLE AUGUSTE CHUPIN,971,486,5,15,466,5,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,131,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,31,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,85,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,70,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,149,,,,
02,Angers 2,251,BOUCHEMAINE,5424,2974,64,97,2813,0,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,751,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,110,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,455,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,324,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,1173,,,,
02,Angers 2,252,SAINTE GEMMES SUR LOIRE,2781,1505,15,70,1420,0,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,364,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,63,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,294,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,144,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,555,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Angers 3,301,ECOLE GREGOIRE BORDILLON,1393,735,9,25,701,14,DE GOUTTES Marie - ORMAIN Antoine,BC-FN,Front National,87,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,264,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,4,CHALLET Magalie - CHERBONNIER Jérémy,BC-VEC,Europe-Ecologie-Les Verts,91,BLEU - COMBELLES Natacha - GABORIAU Julien,BC-COM,Parti communiste français,62,,,,
03,Angers 3,302,ECOLE GREGOIRE BORDILLON,1001,466,5,11,450,7,DE GOUTTES Marie - ORMAIN Antoine,BC-FN,Front National,73,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,160,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,128,CHALLET Magalie - CHERBONNIER Jérémy,BC-VEC,Europe-Ecologie-Les Verts,61,BLEU - COMBELLES Natacha - GABORIAU Julien,BC-COM,Parti communiste français,28,,,,
03,Angers 3,303,ECOLE RASPAIL,810,378,4,10,364,13,DE GOUTTES Marie - ORMAIN Antoine,BC-FN,Front National,41,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,128,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,118,CHALLET Magalie - CHERBONNIER Jérémy,BC-VEC,Europe-Ecologie-Les Verts,52,BLEU - COMBELLES Natacha - GABORIAU Julien,BC-COM,Parti communiste français,25,,,,
03,Angers 3,304,ECOLE RASPAIL,1149,484,4,13,467,14,DE GOUTTES Marie - ORMAIN Antoine,BC-FN,Front National,77,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,151,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,140,CHALLET Magalie - CHERBONNIER Jérémy,BC-VEC,Europe-Ecologie-Les Verts,59,BLEU - COMBELLES Natacha - GABORIAU Julien,BC-COM,Parti communiste français,40,,,,
03,Angers 3,305,ECOLE MATERNELLE RENE GASNIER,948,506,5,23,478,11,DE GOUTTES Marie - ORMAIN Antoine,BC-FN,Front National,94,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,151,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,155,CHALLET Magalie - CHERBONNIER Jérémy,BC-VEC,Europe-Ecologie-Les Verts,51,BLEU - COMBELLES Natacha - GABORIAU Julien,BC-COM,Parti communiste français,27,,,,
